Timestamp,AssetTag,Name,Serial,City,Location,Building,Floor,Room,CheckStatus,RoundingMinutes,CableMgmtOK,CablingNeeded,LabelOK,CartOK,PeripheralsOK,MaintenanceType,Department,RoundingUrl,Comments,Rounded
20-04-2026 14:15,HSS-8078898,LD066343,5WLHCY3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,119 (W88),Inaccessible - In use by Customer,3,Yes,No,Yes,No,Yes,General Rounding,Cowichan Health & Care Plan,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=193911,,Yes
20-04-2026 14:42,HSS-8077200,LD023589,21FSQV3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,101 (#1 Charge Cabinet),Inaccessible - Asset not found,3,No,No,No,No,No,General Rounding,CHS (Reception),https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=46374,,Yes
20-04-2026 14:42,HSS-8092703,LD023590,73GTFW3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,101 (#2 Charge Cabinet),Inaccessible - Asset not found,3,No,No,No,No,No,General Rounding,Duncan Community Hlth Services,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=265797,,Yes
20-04-2026 14:42,HSS-8093120,LD030756,11JHX64,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,101 (#3 Charge Cabinet),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,Duncan Community Hlth Services,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=256781,,Yes
20-04-2026 14:42,HSS-8078869,LD065905,J2FHCY3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,101 (#4 Charge Cabinet),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,CHS (Reception),https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=129270,,Yes
20-04-2026 14:42,HSS-8078881,LD066373,77YQ8Y3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,101 (#5 Charge Cabinet),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,CHS (Reception),https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=97431,,Yes
20-04-2026 14:42,HSS-8077199,LD065898,JPTY4X3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,101 (#6 Charge Cabinet),Inaccessible - Asset not found,3,No,No,No,No,No,General Rounding,CHS - Community Health Services,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=64332,,Yes
20-04-2026 14:42,HSS-8077204,LD065911,10WX4X3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,101 (#7??? Charge Cabinet),Inaccessible - Laptop is not onsite,3,No,No,No,No,No,General Rounding,CHS - Community Health Services,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=196888,,Yes
20-04-2026 14:42,HSS-1037495,LD062047,7YDKLN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,101 (#8 Charge Cabinet),Inaccessible - Laptop is not onsite,3,No,No,No,No,No,General Rounding,CHS (Reception),https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=149254,,Yes
20-04-2026 15:10,HSS-1037488,LD072236,BXWJLN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,104 (Chart Room),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Charting,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=156489,,Yes
20-04-2026 15:11,HSS-8096174,LD031003,93ZP774,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,119 (W85),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Bio-Medical Engineering,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=273726,,Yes
20-04-2026 15:12,HSS-8065686,LD034276,86C1NN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,119 (W86),Inaccessible - Asset not found,3,No,No,No,No,No,General Rounding,CHS Respiratory Therapist,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=25877,,Yes
20-04-2026 15:12,HSS-8092701,LD031358,24PZFW3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,119 (W87),Inaccessible - Asset not found,3,No,No,No,No,No,General Rounding,CHS Respiratory Therapist,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=265777,,Yes
20-04-2026 15:13,HSS-8065691,LD034287,8BY6NN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,119 (W89),Complete,3,Yes,No,Yes,No,Yes,General Rounding,CHS - Community Health Services,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=176297,,Yes
20-04-2026 15:13,HSS-8092702,LD031354,5RHZFW3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,119 (W90),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Cowichan Health & Care,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=265815,,Yes
20-04-2026 15:14,HSS-8078865,LD036459,8ZWQGY3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W100),Inaccessible - Laptop is not onsite,3,No,No,No,No,No,General Rounding,Administration,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=131590,,Yes
20-04-2026 15:15,HSS-8065692,LD031355,6472NN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W101),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=33052,,Yes
20-04-2026 15:15,HSS-8065677,LD034274,FL2KLN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W102),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=56715,,Yes
20-04-2026 15:15,HSS-1037489,LD062042,83CJLN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W103),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=150118,,Yes
20-04-2026 15:15,HSS-1048372,LD068612,48L2WH3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W91),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=250740,,Yes
20-04-2026 15:15,HSS-8065678,LD034595,9886NN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W93),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=101349,,Yes
20-04-2026 15:15,HSS-8078873,LD066345,7VVP8Y3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W94),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=94231,,Yes
20-04-2026 15:19,HSS-8077202,LD065901,C87Y4X3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W95),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=177399,,Yes
20-04-2026 15:19,HSS-8095130,LD030492,D4NQ774,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W96),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=272883,,Yes
20-04-2026 15:19,HSS-8065685,LD034005,6JX2NN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W98),Complete,3,Yes,No,Yes,No,Yes,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=146391,,Yes
20-04-2026 15:20,HSS-8065680,LD034596,HR7LLN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W104),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=200598,,Yes
20-04-2026 15:20,HSS-1037496,LD062048,B4FKLN3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W92),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=48490,,Yes
20-04-2026 15:20,HSS-8095129,LD031005,JCZP774,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W97),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,Case Management,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=273896,,Yes
20-04-2026 15:20,HSS-8078907,LD027137,9LFPGY3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,120 (W99),Inaccessible - In use by Customer,3,No,No,No,No,No,General Rounding,HC Admin Duncan,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=130375,,Yes
20-04-2026 15:21,HSS-1047244,LD102443,75MQCW3,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,125,Inaccessible - Room locked - Key Lock,3,No,No,No,No,No,General Rounding,General Housing,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=236860,,Yes
20-04-2026 15:21,HSS-8097708,LD064332,PF5WQHW0,Duncan,VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor,Main Building,1,125,Inaccessible - Room locked - Key Lock,3,No,No,No,No,No,General Rounding,CHCP - Cowichan Health & Care Plan,https://devicerounding.nttdatanucleus.com/DeviceMaintenance/Index?DeviceId=282115,,Yes
